FID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION
HUNDESACKERLOGD.26729223,POINT (16.28911499179023 48.14228284000151),23,Steinergasse,# Carlbergergasse,2143,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729224,POINT (16.29565253076893 48.22451406208788),17,Oberwiedenstraße,37,3535,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729225,POINT (16.293998193777444 48.21532064365451),16,Gallitzinstraße,# Engilgasse,2653,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729226,POINT (16.290652286830248 48.1426799023013),23,Loosgasse,6,2146,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729227,POINT (16.288162694720175 48.144867046294934),23,Lastenstraße,ggü. 17,2144,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729238,POINT (16.35109283565306 48.20664371217746),8,Roter Hof,1,2567,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729242,POINT (16.366983313339826 48.19471347027044),4,Waaggasse,1,0061,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729243,POINT (16.369815329375566 48.19690241230117),4,Karlsgasse,20,0392,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729244,POINT (16.36372594587604 48.19536027374666),4,Waaggasse,17-19,0051,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729246,POINT (16.37616983787739 48.18953504325167),4,Goldeggasse,ggü. 22,0049,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729247,POINT (16.363025759858445 48.195250092617286),4,Heumühlgasse,1,0096,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729248,POINT (16.37532891616837 48.190907936562226),4,St.-Elisabeth-Platz,ggü. 1,0046,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729249,POINT (16.36477026068628 48.18809517539727),4,Wiedner Hauptstraße,79,0399,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729251,POINT (16.368596215676522 48.195955496219455),4,Favoritenstraße,4-6,0047,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729252,POINT (16.36487071605339 48.18877500413526),4,Wiedner Hauptstraße,82,0287,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
