FID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION
HUNDESACKERLOGD.26729223,POINT (16.28911499179023 48.14228284000151),23,Steinergasse,# Carlbergergasse,2143,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729224,POINT (16.29565253076893 48.22451406208788),17,Oberwiedenstraße,37,3535,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729225,POINT (16.293998193777444 48.21532064365451),16,Gallitzinstraße,# Engilgasse,2653,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729226,POINT (16.290652286830248 48.1426799023013),23,Loosgasse,6,2146,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729227,POINT (16.288162694720175 48.144867046294934),23,Lastenstraße,ggü. 17,2144,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729238,POINT (16.35109283565306 48.20664371217746),8,Roter Hof,1,2567,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729242,POINT (16.366983313339826 48.19471347027044),4,Waaggasse,1,0061,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729243,POINT (16.369815329375566 48.19690241230117),4,Karlsgasse,20,0392,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729244,POINT (16.36372594587604 48.19536027374666),4,Waaggasse,17-19,0051,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729246,POINT (16.37616983787739 48.18953504325167),4,Goldeggasse,ggü. 22,0049,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729247,POINT (16.363025759858445 48.195250092617286),4,Heumühlgasse,1,0096,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729248,POINT (16.37532891616837 48.190907936562226),4,St.-Elisabeth-Platz,ggü. 1,0046,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729249,POINT (16.36477026068628 48.18809517539727),4,Wiedner Hauptstraße,79,0399,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729251,POINT (16.368596215676522 48.195955496219455),4,Favoritenstraße,4-6,0047,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729252,POINT (16.36487071605339 48.18877500413526),4,Wiedner Hauptstraße,82,0287,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729253,POINT (16.3685038406525 48.195178146613515),4,Mozartplatz,ggü. 3,0055,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729254,POINT (16.370197549319723 48.19285862378108),4,Mayerhofgasse,3,0039,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729255,POINT (16.371590000655406 48.19119677258915),4,Theresianumgasse,ggü. 35,0060,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729257,POINT (16.376450647071675 48.18767818954513),4,Schelleingasse,3,0057,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729258,POINT (16.365255356813755 48.19222186633859),4,Große Neugasse,11,0054,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729260,POINT (16.368285345246594 48.188733072609025),4,Rainergasse,# Schönburgstraße,1302,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729261,POINT (16.376589456766226 48.18843249473338),4,Weyringergasse,# Argentinierstraße,0321,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729262,POINT (16.36917845142158 48.19260753308254),4,Mayerhofgasse,5,0041,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729263,POINT (16.36509616692275 48.19822511934645),4,Kühnplatz,7-8,0095,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729264,POINT (16.367370950315586 48.18543343931842),4,Blechturmgasse,12,0045,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729266,POINT (16.32996575498908 48.21398029615621),17,Ottakringer Straße,76,3673,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26729267,POINT (16.32738570519632 48.21354177274854),17,Ottakringer Straße,96,3672,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727292,POINT (16.36874619285472 48.208579753423095),1,Habsburgergasse,1-1A,175,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727293,POINT (16.38245156657027 48.2109588447929),1,Julius-Raab-Platz,ggü. 3,191,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727294,POINT (16.370563766849067 48.2080191167158),1,Spiegelgasse,1,176,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727295,POINT (16.37749402665101 48.20888650361071),1,Dr.-Ignaz-Seipel-Platz,1,1063,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727301,POINT (16.375540325473786 48.20654058878007),1,Kumpfgasse,10,1062,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727302,POINT (16.366812291098768 48.20959210380465),1,Wallnerstraße,5-7,194,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727303,POINT (16.387370959155593 48.2137490694881),2,Untere Donaustraße,# Fruchtgasse,2249,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727304,POINT (16.391720850395345 48.214102658131864),2,Franzensbrückenstraße,# Vivariumstraße,2248,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727305,POINT (16.39691925492312 48.2132348172247),2,Laufbergergasse,# Sportklubstraße,1072,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727308,POINT (16.41350067960164 48.198624391050004),2,Stadionallee,# Sillerweg,1179,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727309,POINT (16.38700710401459 48.22277312027601),2,Volkertplatz,9,0016,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727310,POINT (16.387553890591835 48.21652941833417),2,Praterstraße,51,2556,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727311,POINT (16.38133918133242 48.20975855824537),1,Biberstraße,16-18,3411,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727312,POINT (16.387487404029592 48.214634767856424),2,Czerninplatz,# Fruchtgasse,0275,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727313,POINT (16.38893774654338 48.225051862957606),2,Nordbahnstraße,# Marinelligasse,1084,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727314,POINT (16.37078785943133 48.20540119429431),1,Marco-d'Aviano-Gasse,2,ohne,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727315,POINT (16.398830036100627 48.21176624250476),2,Rustenschacherallee,# Sportklubstraße,2250,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727316,POINT (16.38604353270215 48.22686983459726),2,Taborstraße,95,1086,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
HUNDESACKERLOGD.26727317,POINT (16.388488560750325 48.2271005466815),2,Nordbahnstraße ,12,1083,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html
